0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0.6239637,0.62031627,0.61605114,0.6118731,0.6070775,0.6026107,0.59883666,0.59483325,0.5907347,0.5854855,0.5813108,0.57749265,0.57338184,0.5688157,0.56472236,0.56094134,0.5569062,0.55285037,0.54909086,0.5454446,0.5416206,0.5370885,0.5333641,0.53034526,0.52672595,0.52351356,0.5202542,0.51686543,0.5143943,0.51138926,0.50822765,0.5053122,0.50264007,0.49974796,0.4972933,0.49395585,0.49079984,0.48804754,0.48571956,0.48331797,0.48089096,0.47865373,0.47636968,0.47423854,0.4721596,0.47044742,0.46861094,0.46652249,0.4645794,0.4627164,0.46091098,0.4592651,0.45756632,0.45572072,0.45380718,0.45206916,0.4500071,0.4483627,0.44675034,0.4451027,0.44341272,0.44176337,0.44029605,0.4389793,0.43735197,0.43575943,0.43452588,0.43351173,0.43183953,0.43050086,0.42929447,0.4284459,0.42749324,0.4262218,0.42501205,0.42369878,0.42251772,0.42166525,0.42081368,0.4199503,0.41903046,0.41786295,0.4166199,0.41584593,0.41500014,0.4142514,0.41349456,0.41273955,0.411683,0.41102475,0.41014022,0.40961552,0.408889,0.40806,0.40747643,0.4067648,0.4057803,0.4052263,0.40455434,0.4037412,0.40329707,0.40261018,0.4020157,0.4012492,0.4004346,0.39986175,0.39948732,0.3991055,0.3984766,0.39795154,0.39729738,0.3965116,0.3960846,0.39561403,0.39526302,0.39474022,0.39431006,0.3938222,0.3931347,0.39248896,0.39190313,0.39147633,0.39113837,0.39060426,0.39025527,0.39006633,0.38985008,0.38960445,0.3891363,0.3886869,0.3884549,0.38790986,0.38774502,0.38745221,0.38727802,0.38692543,0.3865873,0.38616672,0.38574338,0.38534707,0.38495427,0.38439354,0.38398427,0.3837017,0.383334,0.38304847,0.3829723,0.38283765,0.38264802,0.38224488,0.3821081,0.381568,0.3813648,0.38118342,0.3810185,0.38081974,0.38051698,0.38015926,0.37994993,0.37934822,0.37906796,0.37897843,0.3786802,0.37847915,0.3783545,0.37803698,0.37796134,0.37775984,0.37768567,0.37752312,0.37737712,0.37720233,0.3769929,0.37677038,0.3765684,0.37640303,0.37613606,0.3759627,0.3756737,0.37557334,0.37530512,0.3750329,0.37495065,0.37480953,0.37456337,0.37452036,0.37444335,0.37423196,0.37406424,0.37391478,0.3738198,0.3737941,0.37363166,0.37337863,0.37327778,0.37322095,0.3730349,0.37301058,0.37284786,0.3726609,0.37251228,0.37228346,0.37223715,0.37216902,0.37206239,0.3719859,0.37180048,0.37166384,0.37174046,0.37173042,0.3716045,0.3714496,0.37130928,0.37135327,0.37109476,0.37099472,0.37068436,0.37043604,0.37048188,0.37049916,0.37035125,0.37013388,0.37012762,0.3700034,0.36985505,0.36955965,0.36963895,0.3692878,0.36909655,0.3690376,0.36892274,0.36884186,0.36872375,0.36855084,0.36845607,0.36832872,0.36818302,0.36806092,0.36796027,0.36796308,0.36781842,0.36786735,0.3677428,0.36791486,0.3678261,0.36766928,0.36758655,0.36740485,0.36735803,0.36722806,0.36722,0.36723307,0.36707187,0.36698735,0.36686194,0.36683866,0.36688012,0.36688685,0.36684424,0.36680743,0.36688524,0.36694008,0.36670986,0.36671486,0.3668282,0.3668473,0.3669572,0.36687976,0.36685944,0.36679968,0.36677414,0.3667487,0.36662072,0.3665379,0.36647016,0.36648834,0.36655837,0.36643767,0.3663918,0.36625856,0.36620566,0.36610013,0.36588934,0.36587018,0.36580813,0.36572155,0.3656471,0.36560768,0.36551642,0.36558372,0.36557266,0.36544946,0.36542585,0.36549425,0.36559054,0.3655584,0.36549106,0.3655771,0.3653964,0.3652679,0.36519626,0.36524546,0.3652764,0.36543137,0.36524385,0.3652555,0.36520827,0.36510134,0.3651098,0.36510023,0.3649565,0.36491948,0.36504334,0.36510003,0.36515594,0.3651378,0.36515725,0.3651476,0.36507434,0.36501244,0.36489,0.36488298,0.36486852,0.36477464,0.3646914,0.36476195,0.36474776,0.36483094,0.36481783,0.3648209,0.36468807,0.36475444,0.36465225,0.3646218,0.3645708,0.36470348,0.3646391,0.36477736,0.3647955,0.36478713,0.36477256,0.36473036,0.3647197,0.36470118,0.3645542,0.36461294,0.3646167,0.36449125,0.36444396,0.36444083,0.36446247,0.36445564,0.3643517,0.36410406,0.36421716,0.36431456,0.36421114,0.36428457,0.36423138,0.36419243,0.36414436,0.36410385,0.36400145,0.36395222,0.36400157,0.3639645,0.36410812,0.3641923,0.3641961,0.3641653,0.36419398,0.36419266,0.3640566,0.36409807,0.3640475,0.36392972,0.36384955,0.36376894,0.36364987,0.3636161,0.36372405,0.36363956,0.36376423,0.36373553,0.36380696,0.36377767,0.3637919,0.36361203,0.3636009,0.3636725,0.3636489,0.36365706,0.36373973,0.36388177,0.36385244,0.36388284,0.36393714,0.36378017,0.3637237,0.36377838
0.40139574,0.39949894,0.39737886,0.3953979,0.39323282,0.39131394,0.38976237,0.38818228,0.38663203,0.3847415,0.38331068,0.38205656,0.38076252,0.37939146,0.37822008,0.37718564,0.3761307,0.37512094,0.37422928,0.37340492,0.3725828,0.37166396,0.37095422,0.3704086,0.36978948,0.36927232,0.36877862,0.36829853,0.36797,0.3675952,0.36723033,0.3669207,0.3666602,0.36640322,0.36620578,0.3659686,0.36577764,0.36563808,0.36554012,0.3654584,0.3653964,0.3653578,0.36533704,0.36533505,0.3653497,0.36537388,0.36541274,0.36547294,0.3655449,0.36562842,0.36572325,0.3658218,0.36593574,0.36607432,0.366234,0.36639404,0.36660224,0.36678293,0.36697334,0.36718118,0.36740935,0.36764628,0.36786973,0.36808026,0.36835408,0.3686366,0.36886576,0.3690612,0.369397,0.3696786,0.36994207,0.37013328,0.37035358,0.37065703,0.37095645,0.3712927,0.37160608,0.3718386,0.3720762,0.3723231,0.37259218,0.37294325,0.37332937,0.3735762,0.3738516,0.37410054,0.37435707,0.37461817,0.3749919,0.37522992,0.37555623,0.37575302,0.37603018,0.37635276,0.3765838,0.37687021,0.37727508,0.3775074,0.37779328,0.37814587,0.37834167,0.37864846,0.3789184,0.37927252,0.37965623,0.37993073,0.3801123,0.3802992,0.3806111,0.38087508,0.3812092,0.38161767,0.38184306,0.38209423,0.38228348,0.38256866,0.382806,0.38307834,0.383468,0.38384026,0.38418347,0.38443634,0.38463873,0.38496247,0.38517615,0.38529274,0.38542667,0.38558006,0.38587457,0.3861608,0.38630998,0.38666373,0.38677186,0.38696483,0.38708034,0.38731566,0.3875435,0.3878298,0.38812113,0.38839665,0.3886727,0.38907182,0.38936707,0.3895725,0.38984245,0.3900541,0.3901108,0.39021125,0.39035344,0.39065808,0.39076215,0.39117703,0.39133486,0.39147633,0.3916056,0.39176214,0.39200258,0.39228892,0.39245763,0.39294872,0.39318013,0.39325455,0.39350367,0.39367265,0.39377782,0.39404774,0.39411247,0.3942853,0.3943493,0.3944898,0.39461643,0.39476907,0.3949527,0.39514905,0.3953284,0.39547604,0.3957157,0.39587247,0.39613545,0.39622748,0.39647442,0.39672673,0.3968035,0.39693543,0.397167,0.39720768,0.3972805,0.3974814,0.3976419,0.39778548,0.3978771,0.39790192,0.39805937,0.39830577,0.39840478,0.39846066,0.39864394,0.3986681,0.39882934,0.39901567,0.39916477,0.39939547,0.39944255,0.3995113,0.39961988,0.39969784,0.39988762,0.4000283,0.3999493,0.39995968,0.4000895,0.40024996,0.40039587,0.40035012,0.40062052,0.4007256,0.40105385,0.40131897,0.4012701,0.4012515,0.40141004,0.40164435,0.4016511,0.40178594,0.40194744,0.40227142,0.40218428,0.40257233,0.40278584,0.40285176,0.40298086,0.40307197,0.40320554,0.40340164,0.40350986,0.40365565,0.40382338,0.40396437,0.40408108,0.40407783,0.4042462,0.4041891,0.40433466,0.40413392,0.4042372,0.4044208,0.40451795,0.40473238,0.4047876,0.40494215,0.40495175,0.4049362,0.40512842,0.40522975,0.4053808,0.40540844,0.40535873,0.40535063,0.40540206,0.40544638,0.40535256,0.4052865,0.40556437,0.40555847,0.4054212,0.40539807,0.4052661,0.40535927,0.4053836,0.40545556,0.40548682,0.40551737,0.4056724,0.40577328,0.40585607,0.40583372,0.40574843,0.4058957,0.40595183,0.4061153,0.40618044,0.40631098,0.40657258,0.40659636,0.4066741,0.40678245,0.4068758,0.40692544,0.40704054,0.40695572,0.4069697,0.40712523,0.40715492,0.4070684,0.40694708,0.40698755,0.4070726,0.40696388,0.40719226,0.40735567,0.40744695,0.40738416,0.40734482,0.40714812,0.40738654,0.40737146,0.40743178,0.40756863,0.4075576,0.40756994,0.40775457,0.40780216,0.40764284,0.40757012,0.40749866,0.40752178,0.40749696,0.4075093,0.40760303,0.40768248,0.4078403,0.4078493,0.40786803,0.4079896,0.40809757,0.408006,0.4080247,0.40791678,0.40793383,0.40792978,0.4081022,0.408016,0.40814856,0.4081884,0.4082547,0.40808213,0.40816593,0.4079861,0.40796253,0.40797323,0.40799236,0.4080471,0.4080608,0.40808493,0.40827674,0.40819988,0.40819502,0.40835887,0.4084208,0.40842494,0.4083965,0.40840575,0.40854207,0.4088696,0.4087197,0.40859115,0.40872753,0.40863085,0.40870082,0.4087525,0.40881616,0.40886983,0.40900618,0.40907183,0.40900588,0.40905544,0.40886414,0.4087526,0.40874755,0.4087883,0.40875044,0.40875226,0.4089327,0.40887755,0.4089447,0.40910193,0.4092092,0.40931773,0.4094779,0.40952367,0.40937787,0.4094917,0.4093238,0.40936244,0.40926653,0.40930587,0.4092866,0.40952915,0.4095441,0.4094474,0.4094795,0.40946817,0.40935707,0.40916604,0.40920547,0.40916467,0.40909207,0.4093023,0.4093785,0.40930477
0.5701635,0.5727783,0.57579947,0.5787243,0.5820431,0.58510053,0.58766043,0.59035397,0.5930897,0.5965632,0.5993029,0.6017918,0.60445416,0.60739136,0.6100069,0.61240864,0.61495674,0.61750245,0.61984867,0.62211144,0.62447107,0.6272498,0.6295184,0.6313472,0.6335274,0.6354512,0.6373918,0.639397,0.640851,0.6426094,0.64444757,0.64613134,0.64766467,0.64931333,0.6507032,0.6525787,0.65433633,0.655856,0.6571313,0.6584369,0.6597456,0.66094196,0.66215324,0.66327363,0.66435724,0.66524255,0.66618466,0.66724634,0.6682246,0.66915345,0.67004496,0.6708499,0.6716728,0.6725575,0.6734638,0.6742772,0.67522967,0.6759791,0.6767049,0.67743695,0.6781775,0.67888963,0.6795144,0.6800676,0.68074125,0.68138945,0.68188375,0.682285,0.6829362,0.6834477,0.6839011,0.68421555,0.68456423,0.6850219,0.68544924,0.6859039,0.68630433,0.68658817,0.68686736,0.68714595,0.68743753,0.6877999,0.6881758,0.68840456,0.6886499,0.6888628,0.689074,0.6892805,0.68956244,0.68973374,0.6899587,0.6900892,0.6902663,0.69046307,0.69059813,0.69075906,0.6909745,0.6910919,0.69123065,0.691393,0.6914791,0.69160867,0.69171715,0.691852,0.6919887,0.692081,0.6921394,0.69219744,0.6922898,0.6923636,0.6924515,0.69255066,0.6926017,0.69265544,0.6926938,0.6927484,0.69279087,0.69283634,0.6928954,0.6929456,0.6929866,0.69301355,0.6930333,0.69306135,0.69307756,0.6930858,0.69309443,0.6931035,0.69311845,0.69312996,0.6931348,0.693143,0.6931446,0.6931466,0.69314706,0.69314677,0.6931447,0.6931397,0.6931319,0.693122,0.6931098,0.69308805,0.6930689,0.693054,0.6930326,0.6930145,0.69300944,0.6930002,0.69298667,0.69295585,0.6929447,0.69289756,0.69287837,0.6928607,0.6928441,0.6928234,0.6927904,0.69274926,0.69272405,0.6926469,0.6926085,0.6925959,0.6925528,0.6925228,0.69250375,0.69245374,0.6924416,0.69240844,0.69239604,0.6923685,0.6923433,0.6923125,0.6922747,0.6922335,0.6921952,0.69216317,0.6921102,0.6920749,0.69201463,0.6919933,0.691935,0.6918742,0.69185555,0.691823,0.6917652,0.691755,0.6917366,0.6916852,0.69164366,0.69160604,0.6915819,0.6915753,0.6915334,0.6914668,0.69143975,0.69142437,0.6913736,0.6913669,0.69132173,0.6912689,0.69122636,0.69115967,0.6911459,0.69112575,0.6910938,0.6910708,0.69101435,0.69097203,0.6909958,0.6909927,0.69095355,0.69090486,0.69086003,0.6908741,0.69079053,0.69075775,0.69065416,0.6905694,0.6905852,0.6905911,0.6905401,0.69046384,0.69046164,0.6904174,0.6903641,0.6902558,0.6902851,0.690154,0.690081,0.69005823,0.69001365,0.68998206,0.68993545,0.68986654,0.6898284,0.68977654,0.6897167,0.68966603,0.68962395,0.6896251,0.689564,0.68958473,0.68953174,0.68960476,0.68956727,0.6895002,0.68946457,0.6893855,0.6893649,0.68930745,0.6893039,0.6893097,0.6892377,0.68919957,0.6891425,0.689132,0.6891508,0.6891539,0.6891345,0.6891176,0.6891532,0.68917817,0.6890727,0.689075,0.68912715,0.6891359,0.68918586,0.6891507,0.6891414,0.6891141,0.6891023,0.6890906,0.6890314,0.68899286,0.688961,0.6889696,0.6890024,0.6889458,0.6889241,0.6888608,0.6888355,0.6887847,0.6886821,0.68867266,0.68864214,0.6885992,0.68856215,0.68854237,0.6884966,0.68853045,0.68852484,0.6884627,0.6884508,0.6884854,0.6885339,0.68851763,0.6884838,0.6885271,0.6884358,0.68837017,0.6883333,0.6883586,0.6883745,0.68845356,0.6883577,0.6883638,0.6883395,0.68828404,0.6882885,0.6882835,0.68820846,0.688189,0.68825394,0.68828344,0.6883124,0.688303,0.6883131,0.6883081,0.68827003,0.6882378,0.6881734,0.6881697,0.6881621,0.6881123,0.6880679,0.6881056,0.68809795,0.6881422,0.68813515,0.68813694,0.6880661,0.68810153,0.68804693,0.6880305,0.68800306,0.68807435,0.6880398,0.6881137,0.68812346,0.688119,0.6881112,0.68808866,0.68808305,0.6880731,0.68799406,0.6880258,0.68802786,0.68795997,0.68793434,0.6879326,0.68794435,0.6879406,0.68788385,0.6877469,0.68780977,0.6878634,0.6878065,0.6878469,0.6878176,0.687796,0.6877693,0.68774676,0.68768936,0.68766165,0.6876895,0.6876685,0.68774915,0.6877959,0.687798,0.687781,0.68779683,0.6877961,0.68772036,0.68774354,0.6877153,0.68764895,0.6876035,0.68755746,0.6874892,0.68746966,0.6875318,0.6874833,0.68755484,0.6875384,0.68757915,0.68756247,0.6875707,0.68746734,0.6874609,0.68750226,0.68748856,0.6874933,0.68754065,0.68762183,0.6876051,0.68762237,0.6876531,0.687564,0.6875316,0.68756294
0.47634777,0.4755631,0.47470975,0.4739371,0.4731233,0.4724319,0.47189546,0.47137243,0.47088456,0.47032756,0.4699375,0.46962082,0.46932185,0.46903992,0.4688315,0.46867582,0.46854842,0.46846056,0.468415,0.4684038,0.46842703,0.46850103,0.4686001,0.46870574,0.46886265,0.4690299,0.46922678,0.46946096,0.4696508,0.4699038,0.47019655,0.470491,0.4707818,0.4711197,0.47142553,0.47186995,0.4723214,0.47274023,0.47311324,0.47351635,0.473943,0.4743538,0.47479105,0.47521538,0.47564495,0.47601044,0.47641468,0.4768898,0.47734696,0.47779915,0.4782507,0.47867388,0.47912252,0.4796239,0.48015925,0.48065966,0.48127103,0.48177278,0.48227713,0.4828056,0.4833616,0.48391813,0.48442516,0.48488978,0.48547685,0.48606545,0.48653126,0.48692065,0.487576,0.4881126,0.4886055,0.48895764,0.48935854,0.48990232,0.4904297,0.49101305,0.4915479,0.49193996,0.49233663,0.4927441,0.4931842,0.49375185,0.49436745,0.49475673,0.49518752,0.4955737,0.4959686,0.49636722,0.49693298,0.4972903,0.4977762,0.49806768,0.49847537,0.49894628,0.4992815,0.4996946,0.5002739,0.500604,0.5010083,0.5015035,0.5017767,0.5022033,0.5025764,0.50306296,0.50358677,0.50395954,0.5042049,0.504457,0.5048755,0.50522834,0.50567245,0.5062123,0.50650895,0.5068382,0.5070855,0.5074568,0.50776476,0.50811684,0.5086181,0.5090947,0.5095318,0.50985295,0.51010907,0.510517,0.5107858,0.510932,0.5111,0.5112915,0.5116588,0.5120147,0.51219946,0.5126368,0.5127699,0.51300734,0.5131493,0.51343787,0.5137164,0.5140656,0.5144197,0.5147538,0.5150873,0.515568,0.51592225,0.5161683,0.51649064,0.5167426,0.5168101,0.5169295,0.5170984,0.51745933,0.5175824,0.5180718,0.5182575,0.5184236,0.5185754,0.51875895,0.51904,0.51937395,0.5195707,0.52014065,0.5204087,0.5204947,0.52078223,0.5209768,0.5210979,0.521408,0.5214822,0.52168036,0.5217536,0.52191424,0.522059,0.5222331,0.5224425,0.5226659,0.5228697,0.52303725,0.523309,0.52348626,0.5237832,0.52388686,0.5241649,0.5244486,0.52453476,0.5246827,0.52494216,0.52498764,0.5250692,0.5252936,0.52547264,0.52563274,0.52573454,0.5257622,0.52593726,0.5262109,0.52632076,0.5263827,0.5265857,0.5266123,0.5267906,0.52699655,0.5271609,0.5274149,0.5274667,0.5275425,0.5276618,0.5277474,0.5279557,0.5281099,0.52802336,0.52803475,0.5281769,0.5283525,0.52851206,0.528462,0.5287573,0.52887195,0.5292295,0.52951753,0.52946424,0.5294442,0.5296164,0.52987033,0.5298777,0.53002363,0.5301982,0.5305482,0.5304542,0.53087246,0.53110206,0.53117305,0.5313115,0.53140926,0.53155243,0.53176266,0.5318784,0.5320344,0.53221357,0.5323641,0.53248835,0.53248495,0.5326643,0.53260356,0.5327584,0.53254473,0.53265476,0.53285,0.53295326,0.5331811,0.5332397,0.5334036,0.53341377,0.53339726,0.5336009,0.5337081,0.5338679,0.5338972,0.5338446,0.533836,0.5338903,0.5339371,0.533838,0.53376824,0.5340618,0.53405553,0.5339107,0.5338862,0.5337466,0.533845,0.5338708,0.53394693,0.5339798,0.5340122,0.53417593,0.5342822,0.53436947,0.5343459,0.534256,0.5344111,0.5344703,0.53464264,0.53471106,0.5348481,0.53512275,0.53514796,0.5352292,0.5353428,0.5354407,0.5354926,0.535613,0.53552425,0.53553885,0.5357017,0.53573275,0.5356423,0.53551525,0.53555775,0.53564656,0.535533,0.5357718,0.53594244,0.5360378,0.53597224,0.5359312,0.53572565,0.5359746,0.5359589,0.53602177,0.53616464,0.5361532,0.53616595,0.53635836,0.536408,0.536242,0.5361662,0.53609174,0.53611577,0.5360899,0.5361028,0.5362006,0.5362834,0.5364477,0.5364572,0.5364766,0.53660315,0.5367154,0.53662014,0.5366395,0.53652734,0.53654504,0.5365408,0.5367201,0.53663045,0.5367683,0.5368098,0.5368787,0.53669924,0.5367864,0.5365995,0.5365749,0.53658617,0.53660595,0.53666294,0.5366771,0.5367023,0.53690135,0.5368217,0.53681654,0.53698677,0.5370511,0.5370553,0.5370259,0.53703547,0.5371768,0.537516,0.53736085,0.5372276,0.53736895,0.53726876,0.53734136,0.53739476,0.5374607,0.53751624,0.53765726,0.53772515,0.53765696,0.5377083,0.5375103,0.537395,0.53738976,0.5374319,0.5373927,0.5373945,0.5375812,0.53752416,0.53759366,0.5377562,0.537867,0.537979,0.53814435,0.5381915,0.5380412,0.53815854,0.53798544,0.5380252,0.5379262,0.53796685,0.5379469,0.53819704,0.5382126,0.5381129,0.53814584,0.53813416,0.53801966,0.5378224,0.5378632,0.53782105,0.53774595,0.53796315,0.5380417,0.53796566
